timestamp,algo,device,max_side,content,style,params,time_ms,ssim_content,ssim_style
2025-09-21T17:39:15.276316,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,steps=400,25315.43,0.5347,0.1756
2025-09-21T17:39:26.645365,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11231.98,0.3203,0.0783
2025-09-21T17:39:52.713920,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,steps=400,25335.16,0.4733,0.1374
2025-09-21T17:40:04.065600,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11230.17,0.3610,0.0534
2025-09-21T17:40:29.990632,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,25336.04,0.4633,0.1313
2025-09-21T17:40:41.406684,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11241.05,0.3625,0.0593
2025-09-21T17:41:07.463404,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\abstract-style-1.jpg,steps=400,25452.43,0.4202,0.0728
2025-09-21T17:41:18.884296,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\abstract-style-1.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11237.88,0.3572,0.0451
2025-09-21T17:41:44.772774,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\starry_night.png,steps=400,25323.37,0.3504,0.0310
2025-09-21T17:41:56.190179,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\starry_night.png,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11235.09,0.3393,0.0240
2025-09-21T17:42:22.129389,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\the_scream.jpg,steps=400,25374.18,0.4802,0.1856
2025-09-21T17:42:33.567356,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\the_scream.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",11229.71,0.3735,0.0750
2025-09-21T17:42:55.478966,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\DP130155.jpg,steps=400,21413.80,0.4657,0.0832
2025-09-21T17:43:05.235682,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\DP130155.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",9099.99,0.3399,0.0451
2025-09-21T17:43:27.018689,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,21474.33,0.5414,0.1345
2025-09-21T17:43:36.231885,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",9111.33,0.3345,0.0683
2025-09-21T17:43:58.353025,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\abstract-style-1.jpg,steps=400,21453.90,0.4512,0.0721
2025-09-21T17:44:07.508222,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\abstract-style-1.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",9056.55,0.3335,0.0498
2025-09-21T17:44:29.347691,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\starry_night.png,steps=400,21448.81,0.3516,0.0297
2025-09-21T17:44:38.551305,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\starry_night.png,"alpha=0.8,steps=300,opt=adam,tv=1e-06",9101.07,0.3352,0.0262
2025-09-21T17:45:00.651306,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\the_scream.jpg,steps=400,21750.39,0.5981,0.1622
2025-09-21T17:45:10.010020,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\the_scream.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",9242.20,0.3610,0.0737
2025-09-21T17:45:35.414383,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\DP130155.jpg,steps=400,24468.11,0.5585,0.0593
2025-09-21T17:45:46.222873,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\DP130155.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",10695.46,0.4532,0.0330
2025-09-21T17:46:12.715311,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,25535.08,0.5471,0.1042
